epoch,loss,epoch_time,avg_batch_time,samples_per_second,communication_overhead_percent,gpu_memory_gb,system_metrics
0,9.287214965820313,4.5947020053863525,0.1775792980194092,2720.5246358406475,6.325253325910987,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 3.7, 'memory_percent': 4.8, 'memory_used_gb': 9.483421325683594}"
1,7.288799171447754,3.7323358058929443,0.1464563465118408,3349.109150431718,4.620975603947413,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.484649658203125}"
2,5.360306434631347,3.729774236679077,0.14648728370666503,3351.4092829194324,4.786085930760024,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.502887725830078}"
3,3.795016202926636,3.7166733741760254,0.14594120025634766,3363.2226299065655,3.728750668520056,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.484535217285156}"
4,2.9282315826416014,3.725245952606201,0.1463228225708008,3355.483143671342,3.3941033818098854,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.8, 'memory_used_gb': 9.496387481689453}"
5,2.4687667369842528,3.741102933883667,0.1468507957458496,3341.260644497599,5.773542438453502,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.485160827636719}"
6,2.1608616399765013,3.722963333129883,0.1460982608795166,3357.54045406923,1.3841702326189786,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.485939025878906}"
7,1.8813325119018556,3.7184560298919678,0.1458449363708496,3361.6102757474755,2.22922993862887,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.8, 'memory_used_gb': 9.492950439453125}"
8,1.62541419506073,3.7325668334960938,0.14610289573669433,3348.9018569807968,4.345791533269537,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.8, 'memory_percent': 4.8, 'memory_used_gb': 9.485546112060547}"
9,1.3701123952865601,3.714332342147827,0.14571650505065917,3365.34236803695,1.5972351920059966,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.507064819335938}"
10,1.1071874213218689,3.726094961166382,0.14620217323303222,3354.7185807865503,1.4844670680720473,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.484882354736328}"
11,0.8483364772796631,3.717266082763672,0.14586636543273926,3362.6863726436927,2.0552983035861447,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.8, 'memory_used_gb': 9.494377136230469}"
12,0.6250525629520416,3.8220009803771973,0.1500459671020508,3270.5381459024015,1.6879918002614782,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.484912872314453}"
13,0.4597290861606598,3.7254419326782227,0.14615256309509278,3355.3066255991116,3.87574099074675,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.485515594482422}"
14,0.3207111978530884,3.717055320739746,0.14578269958496093,3362.8770414727983,1.4959223079458375,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.486297607421875}"
15,0.2474934810400009,3.7204151153564453,0.14617405891418456,3359.8401287009074,3.130927871740233,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.8, 'memory_used_gb': 9.484233856201172}"
16,0.18741167485713958,3.718198537826538,0.1459482192993164,3361.843073422012,1.940344653277133,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.487541198730469}"
17,0.15942232578992843,3.72308611869812,0.14631750106811522,3357.4297240191077,1.99466253437047,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.8, 'memory_used_gb': 9.482540130615234}"
18,0.14306741952896118,3.7219293117523193,0.1461605930328369,3358.4732414262007,3.62522687011002,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.8, 'memory_used_gb': 9.48504638671875}"
19,0.1343342450261116,3.725255250930786,0.14630226135253907,3355.4747683066203,3.4110046869504766,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.482681274414062}"
20,0.12349001735448838,3.7137656211853027,0.1456279945373535,3365.8559195802027,2.5402931264111634,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.8, 'memory_used_gb': 9.49517822265625}"
21,0.11937876880168914,3.726668119430542,0.14629276275634764,3354.2026280328064,3.7836252907635264,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.483638763427734}"
22,0.11271269470453263,3.730548620223999,0.14633618354797362,3350.713600738286,5.382294357057081,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.8, 'memory_used_gb': 9.488361358642578}"
23,0.11373112380504607,3.7256264686584473,0.1462988758087158,3355.140432127405,3.7703367928662277,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.48459243774414}"
24,0.10637751907110214,3.7382259368896484,0.14669151306152345,3343.8321308102886,1.5129956265547067,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.5, 'memory_percent': 4.8, 'memory_used_gb': 9.486381530761719}"
25,0.11047349035739899,3.728217124938965,0.14606821060180664,3352.809018655167,3.4714429186973064,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.487701416015625}"
26,0.10020332604646683,3.7183754444122314,0.14595579147338866,3361.6831293311993,2.699431217211555,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.8, 'memory_used_gb': 9.486602783203125}"
27,0.0992927125096321,3.7195210456848145,0.14596373558044434,3360.6477410584403,2.80380636383323,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.485897064208984}"
28,0.09972912192344666,3.734600305557251,0.14600914001464843,3347.078395886019,2.516665858666705,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.8, 'memory_used_gb': 9.485862731933594}"
29,0.09971187740564347,3.723135471343994,0.14590297698974608,3357.385219047024,2.125221560486496,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.485618591308594}"
30,0.09826901078224182,3.7231953144073486,0.14608330726623536,3357.331255663585,2.510538968219101,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.8, 'memory_used_gb': 9.484359741210938}"
31,0.09758444607257843,3.7185041904449463,0.14579177856445313,3361.5667375392372,2.2731183931290846,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.8, 'memory_used_gb': 9.485614776611328}"
32,0.09448750376701355,3.712083339691162,0.14558734893798828,3367.3812940417374,4.086965042137615,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.8, 'memory_used_gb': 9.483989715576172}"
33,0.08960726678371429,3.7226433753967285,0.14614144325256348,3357.8290315461263,2.4959918571315214,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.8, 'memory_used_gb': 9.485916137695312}"
34,0.0891447114944458,3.7173380851745605,0.145785551071167,3362.62123960485,1.5351893996950141,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.485008239746094}"
35,0.08231947362422944,3.722163200378418,0.1459410285949707,3358.2622058939205,2.589161046147008,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.50216293334961}"
36,0.08708235114812851,3.7139365673065186,0.14581917762756347,3365.700995013346,3.232160119438282,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.8, 'memory_used_gb': 9.485912322998047}"
37,0.08439205944538117,3.724421739578247,0.14622549057006837,3356.2257107369096,3.0877694732222016,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.8, 'memory_used_gb': 9.485958099365234}"
38,0.08341959252953529,3.7124505043029785,0.14563508033752443,3367.0482570775457,1.722703365681536,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.8, 'memory_used_gb': 9.484745025634766}"
39,0.0848460066318512,3.7154128551483154,0.14571681022644042,3364.363662218371,2.158028022273051,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.8, 'memory_used_gb': 9.485237121582031}"
