epoch,loss,epoch_time,avg_batch_time,samples_per_second,communication_overhead_percent,gpu_memory_gb,system_metrics
0,8.34463846206665,7.7793567180633545,0.30363083839416505,1606.816662742242,6.651739447837503,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 3.7, 'memory_percent': 4.4, 'memory_used_gb': 8.638221740722656}"
1,5.61042142868042,7.271629333496094,0.2849863433837891,1719.00951309769,8.8037519717184,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.2, 'memory_percent': 4.5, 'memory_used_gb': 8.639949798583984}"
2,3.602118558883667,7.260334730148315,0.2845581912994385,1721.683705311015,8.6889796961004,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.2, 'memory_percent': 4.5, 'memory_used_gb': 8.64059066772461}"
3,2.6366036796569823,7.257233619689941,0.28462846755981447,1722.4194031849358,8.091232168651848,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.638771057128906}"
4,2.2020430183410644,7.386207580566406,0.289947452545166,1692.34344738541,7.853578546581722,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.3, 'memory_percent': 4.4, 'memory_used_gb': 8.63741683959961}"
5,1.842523341178894,7.2612144947052,0.2849698925018311,1721.4751071070639,7.744420400601437,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.638114929199219}"
6,1.560602765083313,7.286526918411255,0.28574601173400876,1715.4949319428965,7.800454549720775,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.638008117675781}"
7,1.2430189394950866,7.268375635147095,0.28524104118347166,1719.7790300703177,6.790518336379487,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.5, 'memory_percent': 4.4, 'memory_used_gb': 8.637802124023438}"
8,0.9726053142547607,7.258577346801758,0.2846701717376709,1722.1005443315548,7.813834444533106,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.637432098388672}"
9,0.7171253395080567,7.254720211029053,0.284859619140625,1723.0161379617045,7.700990889266186,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.2, 'memory_percent': 4.5, 'memory_used_gb': 8.639236450195312}"
10,0.49378231406211853,7.25001072883606,0.2844768238067627,1724.1353795909197,7.854226126510467,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.63882064819336}"
11,0.3331079638004303,7.261964321136475,0.2847227668762207,1721.2973580189373,7.921810635453375,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.5, 'memory_percent': 4.5, 'memory_used_gb': 8.642078399658203}"
12,0.2260648465156555,7.254214286804199,0.28421552658081056,1723.1363047460788,7.842656485724697,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.2, 'memory_percent': 4.5, 'memory_used_gb': 8.642951965332031}"
13,0.17333660304546356,7.265295028686523,0.2849069118499756,1720.5082451083679,8.080803667270951,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.2, 'memory_percent': 4.5, 'memory_used_gb': 8.641910552978516}"
14,0.1467954045534134,7.276233196258545,0.2856691551208496,1717.9218508867373,7.88839752168056,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.2, 'memory_percent': 4.5, 'memory_used_gb': 8.642452239990234}"
15,0.13434749364852905,7.259034156799316,0.28510068893432616,1721.992172786738,7.2319848199531425,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.3, 'memory_percent': 4.5, 'memory_used_gb': 8.645877838134766}"
16,0.1270808082818985,7.246855735778809,0.28418758392333987,1724.8859996323142,7.3062417110068285,"{'allocated': 0.055065155029296875, 'reserved': 0.1328125, 'max_allocated': 0.09984111785888672}","{'cpu_percent': 4.2, 'memory_percent': 4.5, 'memory_used_gb': 8.645454406738281}"
