epoch,loss,epoch_time,avg_batch_time,samples_per_second,communication_overhead_percent,gpu_memory_gb,system_metrics
0,8.033091253163864,6.281032085418701,0.12174704123516472,3980.2375883474683,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.8, 'memory_percent': 4.4, 'memory_used_gb': 9.080036163330078}"
1,4.219660603270238,5.647176504135132,0.11372691757824956,4426.991078053574,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.7, 'memory_percent': 4.4, 'memory_used_gb': 9.089885711669922}"
2,2.5087106763100135,5.64893102645874,0.11365839413234166,4425.61608256567,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.7, 'memory_percent': 4.4, 'memory_used_gb': 9.08034896850586}"
3,1.8217282051942787,5.644633769989014,0.11364780153547015,4428.985301565217,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 9.084442138671875}"
4,1.236535755955443,5.656583786010742,0.11383456113387128,4419.628692114015,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.9, 'memory_percent': 4.4, 'memory_used_gb': 9.084110260009766}"
5,0.6891973468722129,5.650270700454712,0.11383342256351393,4424.566773055333,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.8, 'memory_percent': 4.4, 'memory_used_gb': 9.076995849609375}"
6,0.3337085000714477,5.644258499145508,0.11359875056208396,4429.27977231815,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.7, 'memory_percent': 4.4, 'memory_used_gb': 9.07863998413086}"
7,0.1858159270213575,5.748995304107666,0.11576522126489756,4348.585914157464,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.8, 'memory_percent': 4.4, 'memory_used_gb': 9.08145523071289}"
8,0.1379420018317748,5.643421411514282,0.11361709419561893,4429.9367665495365,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.8, 'memory_percent': 4.4, 'memory_used_gb': 9.073280334472656}"
9,0.11955121205169328,5.641210079193115,0.11366176118656081,4431.673284462374,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.8, 'memory_percent': 4.4, 'memory_used_gb': 9.080299377441406}"
10,0.11068310269287654,5.74946665763855,0.11403834576509436,4348.229407815737,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.7, 'memory_percent': 4.4, 'memory_used_gb': 9.073902130126953}"
11,0.10460108427368865,5.657421112060547,0.11389617044098523,4418.974565408389,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.6, 'memory_percent': 4.4, 'memory_used_gb': 9.072635650634766}"
12,0.10002945272289977,5.654938697814941,0.11394171325527892,4420.914414096117,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.6, 'memory_percent': 4.4, 'memory_used_gb': 9.088146209716797}"
13,0.09617498015262643,5.6543169021606445,0.1139281769188083,4421.400574567535,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 4.1, 'memory_percent': 4.4, 'memory_used_gb': 9.08681869506836}"
14,0.09255622677048858,5.658427715301514,0.11399741075476821,4418.188454081516,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.8, 'memory_percent': 4.4, 'memory_used_gb': 9.082740783691406}"
15,0.08942002514187171,5.705721378326416,0.11409593115047532,4381.566911935844,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.8, 'memory_percent': 4.4, 'memory_used_gb': 9.081073760986328}"
16,0.08680155097830053,5.659849166870117,0.11398132966489208,4417.078841312115,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.8, 'memory_percent': 4.4, 'memory_used_gb': 9.075515747070312}"
17,0.08444767871073314,5.659890651702881,0.11402078064120545,4417.04646581437,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.7, 'memory_percent': 4.4, 'memory_used_gb': 9.080986022949219}"
18,0.08226782387616682,5.703050136566162,0.11393059029871104,4383.61918646092,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.7, 'memory_percent': 4.4, 'memory_used_gb': 9.07107925415039}"
19,0.08022300534102382,5.709895372390747,0.1135368249854263,4378.363940061557,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.7, 'memory_percent': 4.4, 'memory_used_gb': 9.073249816894531}"
20,0.07834001676160463,5.64110255241394,0.11357488437574736,4431.757757940777,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.7, 'memory_percent': 4.4, 'memory_used_gb': 9.078533172607422}"
21,0.07652186495917183,5.82619833946228,0.11355876436038893,4290.962741633567,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.9, 'memory_percent': 4.4, 'memory_used_gb': 9.084327697753906}"
22,0.07467287322696374,5.633527040481567,0.11347010670876016,4437.717227654052,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 4.1, 'memory_percent': 4.4, 'memory_used_gb': 9.072246551513672}"
23,0.07273179954107926,5.642560720443726,0.11360072116462552,4430.612489365294,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 4.3, 'memory_percent': 4.4, 'memory_used_gb': 9.072551727294922}"
24,0.07085395497935158,5.765598773956299,0.1135566623843446,4336.06308384259,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.9, 'memory_percent': 4.4, 'memory_used_gb': 9.08084487915039}"
25,0.06897619587122178,5.707519769668579,0.1134612511615364,4380.186317156057,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 4.4, 'memory_percent': 4.4, 'memory_used_gb': 9.081878662109375}"
26,0.06712591648101807,5.84567666053772,0.11530165283047424,4276.664867348369,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.9, 'memory_percent': 4.4, 'memory_used_gb': 9.082527160644531}"
27,0.06533335164493444,5.684953927993774,0.11371667044503349,4397.573017592163,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 4.4, 'memory_percent': 4.4, 'memory_used_gb': 9.078041076660156}"
28,0.06373494901523298,5.711292505264282,0.11375073510773327,4377.292876692394,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 4.3, 'memory_percent': 4.4, 'memory_used_gb': 9.083457946777344}"
29,0.06203629532638861,5.646017551422119,0.11376955557842644,4427.899802348826,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.9, 'memory_percent': 4.4, 'memory_used_gb': 9.075241088867188}"
30,0.06033516971736538,5.710455417633057,0.11358097621372767,4377.934537901064,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.7, 'memory_percent': 4.4, 'memory_used_gb': 9.07876968383789}"
31,0.05901176505246941,5.710604190826416,0.11378257128657127,4377.820483541882,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.7, 'memory_percent': 4.4, 'memory_used_gb': 9.081195831298828}"
32,0.05754798627933677,5.654340505599976,0.11381412038997728,4421.3821179040015,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.6, 'memory_percent': 4.4, 'memory_used_gb': 9.078990936279297}"
33,0.05610990927231555,5.716903448104858,0.1136891355319899,4372.996715256307,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.7, 'memory_percent': 4.4, 'memory_used_gb': 9.07253646850586}"
34,0.054476350089725185,5.635939121246338,0.11356544494628906,4435.8179643486765,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.8, 'memory_percent': 4.4, 'memory_used_gb': 9.07260513305664}"
35,0.05317354209873141,5.64484715461731,0.11371058833842375,4428.817878540924,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 3.7, 'memory_percent': 4.4, 'memory_used_gb': 9.070629119873047}"
36,0.051849141869009754,5.643608570098877,0.11361860255805814,4429.789856875562,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 4.0, 'memory_percent': 4.4, 'memory_used_gb': 9.077075958251953}"
37,0.05034748997007098,5.639886379241943,0.11359873109934282,4432.7134128117395,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 9.074016571044922}"
38,0.04901244696609828,5.664111852645874,0.11356919152396065,4413.754645103232,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 4.3, 'memory_percent': 4.4, 'memory_used_gb': 9.084430694580078}"
39,0.04771419660169251,5.738854885101318,0.113774552637217,4356.269761220601,0,"{'allocated': 0.03693056106567383, 'reserved': 0.06640625, 'max_allocated': 0.05953645706176758}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 9.083148956298828}"
